Category,Reviews,Accuracy,F1_CG
Books_5,631,0.9904912836767037,0.9903536977491961
Kindle_Store_5,669,0.9895366218236173,0.9895988112927192
Movies_and_TV_5,483,0.9813664596273292,0.9813664596273292
Electronics_5,543,0.9779005524861878,0.9774436090225563
Home_and_Kitchen_5,536,0.9776119402985075,0.9779411764705882
Sports_and_Outdoors_5,570,0.9736842105263158,0.9721706864564007
Tools_and_Home_Improvement_5,552,0.9710144927536232,0.971830985915493
Pet_Supplies_5,586,0.9709897610921502,0.9706390328151986
Toys_and_Games_5,532,0.9699248120300752,0.9693486590038314
Clothing_Shoes_and_Jewelry_5,558,0.9659498207885304,0.9655172413793104
